Fila,Participante_declarado,Fragmento,Estado,Participante_real_si_difiere,Similitud,Evidencia_o_ventana_aproximada
13,P03,"Tengo que, primero, vaya respaldado, realizado en un periodo con un médico veterinario, antes de yo realizar una sugerencia que me da la inteligencia artificial.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
14,P03,"Que si le dí en retrasor, que si le dí en constipina, que si le dí en terogramina. Esos son los propósitos.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
15,P03,"Que todo el equipo de experticia que equipaba una secretaria, también utilice la herramienta.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
16,P03,"No, una tablet sería lo más útil. Una tablet.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
17,P05,"La plataforma se llama PECACMICS... se puede registrar cualquier cuestión de agendar cita, inventario, también se puede agendar la cuestión de fichas médicas.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
18,P05,"Si usted escribe algo mal... la M no le va a salir, no va a salir. O le van a salir varios, o a veces se le confunde con una S.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
19,P05,Hay que ponerse el dato para poder generar la consulta.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
20,P05,"Va a perjudicar, uno, en la información económica del ingreso, y dos, también... porque hay que preparar dos citas para ese paciente, ahí deja a otro paciente que no pueda.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
21,P05,"La AIM, como está en inventario, si la AIM está en la plataforma, tienes opción de poder hacerlo en inventario, efectivamente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
22,P05,"Nosotros lo ponemos exactamente en forma física, que me refiero, que son las cartillas... cada consulta que viene se hace el control del peso.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
23,P05,"No estoy de acuerdo, porque igual, yo sé que es difícil como tal dar una guía... pero no sería correcto, porque igual cambia siempre, todo de forma diferente, a varios parámetros.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
24,P05,Cuando tengo que hacer una cita que le escribo a un paciente y le avisa... sería muy bueno para el veterinario. Apoyar frecuentemente al guía que directamente le ayude en esa cuestión.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
25,P05,"Primero la cuestión de los datos de los tareas que tienen que estar protegidas. Y la cuestión está de también medios de soporte, porque a veces hay ciertas dudas y a veces no se realiza como tal.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
26,P05,"Puede ser, como te mencionaba, la cuestión de agendar las citas o hacer los recordatorios... a veces uno no puede estar pendiente de esa cuestión.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
27,P05,"Yo diría que en cualquier dispositivo, pero si estamos... por lo general, si le pegamos a la mano el teléfono, el teléfono nos ayuda para hacer unos cientos de cosas.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
28,P04,"Mediante Word. Sí, guardo documentos de Word y los guardo. Historia clínica y el nombre de las propietarias.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
29,P04,"Guardar muchos documentos hace que tenga que buscarlo manualmente, se podría decir, y toma tiempo.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
30,P04,"No llevo inventario. Porque trabajamos solo dos, somos parejas y por eso confiamos en la clínica.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
31,P04,"Si son cachorros, nosotros hacemos un cronograma... la primera cita la tienen en el día 10, la segunda en el día 21, la tercera en el mes y medio.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
32,P04,"Nosotros hacemos chequeos todos los días, una vez que salen de la veterinaria, mediante mensajes de texto, llamadas o videollamadas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
33,P14,Totalmente de acuerdo.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
34,P04,"El chequeo de los pacientes hospitalizados, eso es lo que hay que estar casi 100% enfocado en esto, el desgaste mental es bastante considerado.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
35,P04,Que el veterinario pueda realizar todas las recomendaciones a la hora. Esta es la verdad.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
36,P04,Me gustaría tener un programa para poder llevar el historial clínico.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
37,P04,"Yo creo que en cualquier dispositivo, porque a veces estamos pendientes del teléfono, a veces estamos pendientes del lácteo, entonces creo que cualquiera sería bueno.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
38,P01,El historial clínico y todo lo que contiene el historial clínico lo tenemos en la aplicación de Microsoft. Ahí estamos revisando todo.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
39,P01,"Más que nada el hecho de que no está bien... No está bien hecho el tema de buscar por nombre, por...",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
40,P01,"Se hace por un programa en línea, pero demora en abrirse, ingresar al cliente, ingresar el producto, ingresar lo que se ha hecho y todo eso.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
41,P01,"Tenemos un programa de facturación donde está todo el producto, pero la parte del vencimiento no se puede iniciar... Tengo que manualmente estar revisando uno a uno.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
42,P01,Sí hay una frecuencia moderada de inasistencias... no se sabe cuál es la evolución del paciente y no se sabe cómo va.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
43,P01,Los resultados de exámenes se los enviamos directamente por WhatsApp.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
44,P01,"Aunque la máquina te pueda decir diagnóstico, hay que ver también si es realmente ese o no.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
45,P01,"Sería la facilidad de utilizarla, que sea portable, que pueda utilizar tanto el teléfono como la computadora.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
46,P02,Falta de información de los propietarios de los animalitos... por último ya van en la última instancia a buscar un veterinario.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
47,P02,Siempre suele pasar en el asunto de los productos que se caducan por falta de precaución... No tengo algún inventario definido como para llevar el control automático.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
48,P02,"Bueno, primeramente mediante la telefonía celular y también próximas citas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
49,P02,"No, al menos personalmente no utilizo ningún tipo de software.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
50,P02,"Yo confianza moderada porque no se parecen los diagnósticos, ya todo es en la práctica, viendo al paciente, viendo en directo cómo son las cosas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
51,P02,Una base de datos que le ayude a uno a llevar la contabilidad del negocio.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
52,P02,"Que sea fácil de usar. El acceso, primeramente, y de bajo valor económico.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
53,P07,"Pongamos, si llega por el caso de abandonamiento, que no nos digan cuál fue el motivo, qué estuvo haciendo el perro, edad, a veces dicen no solo la rescate tal fecha pero según la edad aproximada o de qué alimentación lleva, o sea nos mientan en algún dato.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
54,P07,"Los cobros, o sea cómo registramos los cobros, mediante el facturador SRE.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
55,P07,"Con productos vencidos casi no tanto porque las mismas empresas nos mandan la fecha de caducidad, entonces de ahí por faltantes a veces sí, pero es por falta de pedidos.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
56,P07,"Manual, o a veces sí los registramos y estamos viendo en Excel.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
57,P07,Controlando el peso siempre lo dejamos en el canal y aparte en la ficha médica que nos lleva.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
58,P07,"Muy poco siguen las recomendaciones... nos damos cuenta en la limpieza del herido, una herida infectada o un animal que no ha estado bien.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
59,P07,"Tal vez médicas, recordar tareas médicas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
60,P07,La de que el veterinario pueda revisar y corregir... Las actualizaciones periódicas.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
61,P07,Registrar al paciente... llevar un control de vacunas. Hablaba mucho de esto de los recordatorios de vacunas... cuando ya esté cerca de la hora de la vacuna le mande a la doctora.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
62,P07,El precio.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
63,P06,"Fichas críticas que están impresas y las llenamos, esa es la pregunta 2, porque está hecha.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
64,P06,"Muchas veces los tutores están muy acelerados porque el animal está muy enfermo, entonces no nos responden las preguntas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
65,P06,"Nombre, peso, edad, si está sterilizado, si está vacunado, para qué vino, motivo de consulta y los datos del propietario.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
66,P06,"Claro, a veces envían una foto y dice, doctor esto sí, pero uno no puede ver qué es lo que tiene. No puede saber y no sabe si ese medicamento le vaya a servir o le vaya a tratar en cosa.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
67,P06,Tal vez el seguimiento de los pacientes que se consigue en la casa.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
68,P06,"Podría ser recordatorios a los dueños... sería como un sistema de notificaciones que le notifica a los dueños que en tal día, a tal hora, tienen que llevar a su mascota para la vacuna.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
69,P06,Que sea una herramienta segura... que no tengan muchos errores.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
70,P06,La laptop o el celular. Aquí como doctor... se usa más.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
71,P08,"Sí he tenido problemas por productos vencidos... sí sirve para el inventario, pero a veces no revisamos a tiempo.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
72,P08,"El software nos envía una alarma cuando tenemos que llamarlos a próxima cita. Por ejemplo, ponemos una venta de días y el software nos avisa la cita de hoy.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
73,P08,Los consultas en cachorro son generalmente cada 21 días. En cada cita se le pesa. Se hace un estado de valoración adicional.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
74,P08,"Cuando un propietario dice ese tipo de comentarios, le pido todos los blisters, las bolsas de alimentos que se supone que debió haber comido para corroborar si la información es verdadera.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
75,P08,Lo que más me genera carga es el documento... Puede hacerlo digamos un chat inteligente que ya tenga los mensajes así para que lo pueda responder automáticamente... para generar una cita.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
76,P08,Que las recomendaciones estén respaldadas en literatura científica veterinaria validada. Que el veterinario pueda revisar y corregir todas las sugerencias antes de aplicarlas... que los datos del paciente estén protegidos y no compartan con terceros.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
77,P08,"Que en vez de yo llegar a ver las citas pendientes de los recordatorios, ella haya enviado los mensajes. Sería convencible que tenga ya algo que automáticamente envíe los mensajes sin necesidad de prestación.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
78,P08,"Generalmente, nosotros aquí somos laptops.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
79,P09,"Bueno, te comento que recién tengo el local propio, entonces no tengo ningún software por el momento. Lo que me baso ahorita es en anotar en una libreta y en mi teléfono por mediante Word.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
80,P09,Tener historial clínico y estar buscando... te hace demorar un poco,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
81,P09,"Lo hago físico, no tengo contabilidad por un software, no, no tengo ningún programa. Físico, mediante un calculador nada más.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
82,P09,"No, no llevo inventario para que me controle, solo llevo justo, quería ver ahorita que estaba viendo unas aplicaciones para llevar lo que es el inventario, que es un poco más rápido, te da el por ciento, todo eso más actualizado, y sacar lo que es ganancia y ese inversión, que lo hago a mano todavía.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
83,P09,A última hora nos cancelan... se nos queda ese espacio vacío,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
84,P09,"Sí, hay sistemas como eso, que ya vienen con un recordatorio que funciona directamente al WhatsApp, que le manda la notificación.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
85,P09,Permanente WhatsApp... cuando tenemos exámenes... yo lo que hago es reenviarle,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
86,P09,"Lo manejamos con lo que es físico, con un carnet. No tenemos todavía un carnet digital",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
87,P09,Solo que le pasen una foto... tienen que traer al animalito... para verlo físicamente y palparlo,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
88,P09,"Es una escala del 1 al 5. 1 es totalmente en desacuerdo y 5 es totalmente de acuerdo. Bueno, 4.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
89,P09,"Yo te comento que yo ya trabajé con algo, un software digital en una clínica que yo trabajé anterior. Sí tenía, más o menos, el guío.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
90,P09,Sería una computadora... también el teléfono. Uno lo maneja diario,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
91,P12,"Actualmente utilizamos principalmente registros digitales, aunque todavía conservamos algunos documentos físicos",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
92,P12,Nos hace difícil localizar rápidamente antecedentes como tratamientos anteriores y resultados de exámenes,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
93,P12,Los errores pueden aparecer principalmente cuando se realizan varios procedimientos y hay que comprobar manualmente todo lo que ya ha sido incluido.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
94,P12,Algunas veces es difícil detectar con anticipación los medicamentos que están por terminarse o próximos por vencerse.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
95,P12,"Resignamos los pacientes, porque a veces los pacientes cancelan y está ese espacio y hay otros pacientes que lo necesitan. Y ahí reagendamos la agenda de cada paciente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
96,P12,"El problema es hacer el seguimiento manual con todos los pacientes, con el cual consume bastante tiempo.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
97,P12,"Es decir, una opción muy buena, la inteligencia de la inteligencia artificial para que nos ayude, para no tardarnos tanto en tal vez dar un tratamiento o buscar una historia clínica.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
98,P12,Me ayudaría para comparar y según mis conocimientos y según comparo las dos cosas. Pero sí sería una herramienta buena para ayudarme.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
99,P12,"Ya, que los datos de los pacientes estén protegidos y que existan soportes técnicos y disponibles con actualizaciones periódicas.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
100,P12,"Que permita trabajar desde la computadora, el teléfono, sin complicar el registro de información",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
101,P12,"Sería útil contar con alertas para los controles, vacunas, tratamientos y citas. También considero que es importante el sistema de registre, que el sistema registre modificaciones realizadas al conocer quién actualizó cada información, pues.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
102,P10,El principal inconveniente es que la información queda un poco dispersa,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
103,P10,Depende de quién atendió al paciente o de dónde quedó registrado el dato,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
104,P10,"Primero se registra el servicio realizado y después se calcula el valor de la consulta, como medicamentos o procedimientos, los errores pueden aparecer cuando se tienen que repetir datos o cuando se acumula varias atenciones y lo cual no es algo que ocurra siempre, pero una herramienta que centraliza la información ayudaría a reducir esos inconvenientes.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
105,P10,También sería útil recibir una alerta cuando un medicamento esté por agotarse o vencer,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
106,P10,El problema es que queda un espacio libre... no siempre se logra contactar a todos los propietarios a tiempo,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
107,P10,Sería conveniente tener un proceso más organizado porque... es fácil que alguna comunicación se retrase,LITERAL_SOLO_EN_AUTOMATICA,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
108,P10,La verdad es que estoy en 4 o 5.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
109,P10,No tomaría una decisión clínica importante solamente para la información recibida por el mensaje.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
110,P10,"Principalmente que sea muy fácil de aprender, que sea sencilla y rápida también, que no complique el trabajo diario.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
111,P10,Que me permita tener un solo lugar de información de los pacientes y el seguimiento de las citas,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
112,P14,"El registro funciona, aunque a veces cuando se acumula paciente se vuelve más difícil manejar todo actualizando y ordenando prácticamente la información.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
113,P14,"Si la información está en una ficha sea física, fue registrada por otro veterinario, la consulta puede ser, se puede demorar prácticamente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
114,P14,También los errores aparecen sobre todo cuando se transcribe datos manualmente o cuando una factura incluye varios servicios.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
115,P14,También hemos tenido casos en los que los productos quedan con pocas unidades o estuvo cerca de vencer porque no se detectó a tiempo.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
116,P14,"El impacto sería en la asistencia que ocurren varias veces al mes, que afectan porque, o sea, afectan bastante porque dejan horarios disponibles que ya no pueden aprovecharse.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
117,P14,A veces debemos revisar notas antes de contactar al propietario,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
118,P14,"Registramos el peso y lo comparamos con controles anteriores. También tomamos en cuenta condiciones corporales, edad, raza y actividad. Tener gráficas o alertas prácticamente de la evolución que sería muy útil en el paciente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
119,P12,De una escala del 1 que es totalmente de acuerdo y 5 totalmente en desacuerdo.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
120,P14,"Confianza alta pero condicionada... que el veterinario pueda revisar, modificar o rechazar cualquier sugerencia",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
121,P14,Debería tener permisos por usuario y respaldo de la información,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
122,P14,Un historial de comunicaciones de cada propietario,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
123,P15,"Perfecto, entonces sería la organización diaria de la información de los pacientes, las fichas de los pacientes.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
124,P15,El cuaderno es cronológico y no por paciente... hay que revisar página por página,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
125,P15,"Bueno, el cobro lo hace directamente lo que es el doctor al final de la consulta de una forma manual, y luego yo anoto lo que es el munto en otro cuaderno, que este cuaderno sería el de caja, y como son dos registros completamente por separado, a veces los muntos no coinciden al final del día y toca como que revisar todo desde un principio.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
126,P15,No hay un control formal del inventario... se revisa a ojo,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
127,P15,"Como no se maneja lo que es una agenda formal, por así decirlo, de citas, la mayoría se atiende por orden de llegada.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
