Fila,Participante,Participante_declarado_original,Confianza_verificacion,Codigo_abierto,Categoria_axial,Codigo_axial
71,P08,P08,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Falta de revisión oportuna del inventario,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
72,P08,P08,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Alarma de próxima cita ya existente,Citas y comunicación con propietarios,Automatización de recordatorios de citas
73,P08,P08,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Control periódico de peso en cachorros,Historia clínica y gestión de pacientes,Seguimiento clínico configurable según edad/patología
74,P08,P08,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Verificación de cumplimiento mediante evidencia física,Citas y comunicación con propietarios,Verificación del cumplimiento mediante evidencia
75,P08,P08,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Automatización de mensajería para gestión de citas,Inteligencia Artificial,Automatización de mensajería/chatbot para gestión de citas
76,P08,P08,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Condiciones de confianza en IA: literatura validada, revisión y protección de datos",Inteligencia Artificial,"Condiciones de confianza en IA (literatura validada, revisión, actualizaciones, protección de datos)"
77,P08,P08,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Automatización total de recordatorios de citas,Citas y comunicación con propietarios,Automatización de recordatorios de citas
78,P08,P08,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de acceso vía laptop,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
79,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro no digitalizado en libreta física y notas de celular,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
80,P09,P09,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Búsqueda lenta del historial por revisión física retrospectiva,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
81,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Facturación completamente manual sin software,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
82,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Ausencia de inventario formal; interés inicial en digitalizarlo,Inventario,Ausencia de control de inventario formal (manual/inexistente)
83,P09,P09,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Impacto de cancelaciones de último momento en la agenda,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
84,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Interés en recordatorios automáticos con confirmación por WhatsApp,Citas y comunicación con propietarios,Automatización de recordatorios de citas
85,P09,P09,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Envío de resultados y seguimiento vía WhatsApp,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
86,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Registro de peso en carnet físico, sin versión digital",Historia clínica y gestión de pacientes,Registro histórico de peso y estado nutricional
87,P09,P09,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Diagnóstico remoto limitado a fotos; evaluación física obligatoria,Inteligencia Artificial,Rechazo al diagnóstico automatizado sin evaluación física
88,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Aceptación moderada-alta de IA diagnóstica (4/5),Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
89,P09,P09,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Experiencia previa positiva con software veterinario,Usabilidad y desempeño,Experiencia previa positiva con software veterinario
90,P09,P09,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de acceso vía computadora y teléfono móvil,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
91,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro clínico mixto digital-físico con anotaciones diferidas,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
92,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Dificultad para localizar antecedentes rápidamente,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
93,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Errores de facturación por comprobación manual de procedimientos múltiples,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
94,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Dificultad para detectar anticipadamente vencimiento/agotamiento de stock,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
95,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Reasignación de espacios de agenda tras cancelaciones,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
96,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Seguimiento manual de pacientes vía WhatsApp y llamadas consume tiempo,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
97,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Interés en IA como apoyo para reducir tiempo en historia clínica y tratamiento,Inteligencia Artificial,Interés en IA como apoyo para reducir carga de trabajo
98,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Confianza moderada en IA como comparación con criterio propio,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
99,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Condición de confianza: protección de datos y soporte técnico,Seguridad,Protección de datos del paciente/propietario
100,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de acceso multiplataforma sin complicar el registro,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
101,P12,P10,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de trazabilidad de cambios (registro de quién modificó la información),Seguridad,Trazabilidad de cambios (registro de quién modificó la información)
102,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Registro clínico disperso entre digital y físico, sin centralizar",Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
103,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Dificultad de consulta cuando depende de quién atendió,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
104,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Errores de facturación por repetición de datos,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
105,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Utilidad de alertas automáticas de inventario,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
106,P10,P11,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Pérdida de espacios de agenda por inasistencias no contactadas a tiempo,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
107,P10,P11,"confirmado_literal | LITERAL_SOLO_EN_AUTOMATICA verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de un proceso organizado de comunicación de resultados,Citas y comunicación con propietarios,Necesidad de un proceso organizado/historial de comunicaciones
108,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Alta aceptación de IA diagnóstica (4-5/5),Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
109,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Rechazo a decisión clínica basada solo en fotos/mensajes sin evaluación presencial,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
110,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Riesgo de abandono si la herramienta requiere demasiados pasos,Usabilidad y desempeño,Riesgo de abandono de la herramienta si requiere demasiados pasos
111,P10,P11,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de un sistema centralizado de historial y citas,Historia clínica y gestión de pacientes,Priorización de un sistema centralizado de historial y seguimiento de citas
112,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Registro clínico mixto (sistema básico + fichas físicas), difícil de ordenar con alto volumen",Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
113,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Demora en localizar antecedentes registrados por otro profesional,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
114,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Errores de facturación por transcripción manual,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
115,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Control de inventario en hoja de cálculo externa, detección tardía",Inventario,Registro de inventario en herramientas no integradas (plataforma externa/Excel)
116,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Impacto de inasistencias frecuentes en horarios no aprovechables,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
117,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Seguimiento por WhatsApp dependiente de revisar notas previas,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
118,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Interés en gráficas/alertas automáticas de evolución de peso,Historia clínica y gestión de pacientes,Registro histórico de peso y estado nutricional
119,P12,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Total acuerdo (5/5) con IA analizando datos clínicos para sugerir diagnóstico,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
120,P14,P12,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Confianza alta condicionada a revisión del veterinario,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
121,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de permisos diferenciados por usuario y respaldo de información,Usabilidad y desempeño,Necesidad de permisos diferenciados por usuario y respaldo de información
